PC1,PC2,PC3
-0.318270,0.037709,0.011178
-0.317449,0.057861,0.012367
-0.323548,0.046823,0.005241
-0.332612,0.109116,0.029701
-0.325147,0.120122,0.037879
-0.318394,0.131065,0.045646
-0.331827,0.134473,0.033403
-0.322945,0.142154,0.042359
-0.330168,0.157723,0.036134
-0.321503,0.169546,0.045234
-0.327493,0.181208,0.039078
-0.334405,0.171810,0.030539
-0.335347,0.132415,0.033525
-0.324966,0.146483,0.035055
-0.334430,0.141067,0.025562
-0.323108,0.158305,0.025467
-0.335121,0.154230,0.015430
-0.324746,0.163726,0.016869
-0.333740,0.162002,0.007689
-0.317957,0.168742,0.009875
-0.328583,0.166311,-0.000971
-0.335175,0.153839,-0.007569
-0.318949,0.165070,-0.009364
-0.327280,0.156890,-0.017829
-0.334134,0.145075,-0.024674
-0.322590,0.162273,-0.026843
-0.330179,0.154777,-0.038065
-0.334870,0.141291,-0.045798
-0.320629,0.168624,-0.034024
-0.326109,0.163098,-0.039570
-0.323388,0.163407,-0.050414
-0.326171,0.151935,-0.059538
-0.322480,0.137106,-0.076170
-0.335079,0.134337,-0.054240
-0.329896,0.138273,-0.065928
-0.332250,0.127011,-0.063560
-0.333410,0.118367,-0.070053
-0.327510,0.124841,-0.081697
-0.329614,0.117605,-0.084316
-0.330755,0.106322,-0.086166
-0.332552,0.095663,-0.088615
-0.318966,0.128631,-0.090502
-0.321507,0.118822,-0.093868
-0.324184,0.108982,-0.097125
-0.334408,0.169890,-0.175971
-0.335087,0.156894,-0.179018
-0.335995,0.144965,-0.178200
-0.326697,0.180797,-0.185367
-0.328687,0.170614,-0.186550
-0.329638,0.159589,-0.191168
-0.331068,0.145461,-0.187347
-0.329182,0.134243,-0.192010
-0.332016,0.124692,-0.189529
-0.332312,0.111858,-0.195162
-0.336158,0.097060,-0.200119
-0.320573,0.180798,-0.196914
-0.324777,0.161544,-0.201900
-0.324307,0.136255,-0.202790
-0.325908,0.113903,-0.204833
-0.326860,0.101266,-0.210375
-0.329745,0.091863,-0.210204
-0.332551,0.078834,-0.214792
-0.332775,0.053185,-0.217037
-0.322193,0.172286,-0.203779
-0.323521,0.148651,-0.206410
-0.322593,0.122941,-0.206904
-0.331705,0.070002,-0.219583
-0.316702,0.173722,-0.211446
-0.317379,0.165042,-0.212606
-0.318478,0.152261,-0.215348
-0.318778,0.137282,-0.213321
-0.318238,0.126742,-0.217988
-0.321361,0.117567,-0.218022
-0.323414,0.103747,-0.221761
-0.324510,0.082103,-0.224778
-0.325396,0.069289,-0.227963
-0.325701,0.053658,-0.226949
-0.322836,0.095155,-0.226825
-0.316715,0.108406,-0.233206
-0.317297,0.095208,-0.236021
-0.318155,0.083279,-0.235183
-0.317955,0.069254,-0.236638
-0.317263,0.053115,-0.236783
-0.334264,-0.014613,-0.117766
-0.331495,-0.027671,-0.118848
-0.319395,-0.040892,-0.126342
-0.317142,-0.057205,-0.123885
-0.326418,-0.051397,-0.120998
-0.335678,0.000174,-0.119731
-0.331799,0.030528,-0.132352
-0.330039,0.013220,-0.131364
-0.328681,0.002455,-0.130382
-0.326506,-0.012277,-0.128664
-0.322694,-0.030001,-0.126837
-0.323504,0.031472,-0.141589
-0.322039,0.014554,-0.140928
-0.320545,0.003627,-0.139826
-0.316842,-0.011668,-0.139943
-0.327392,-0.137335,-0.139884
-0.323897,-0.111500,-0.142525
-0.320530,-0.109488,-0.141239
-0.333449,-0.096486,-0.146643
-0.316640,-0.100267,-0.135966
-0.324867,-0.087063,-0.139241
-0.318270,-0.078836,-0.127284
-0.327916,-0.067791,-0.131723
-0.331537,-0.055915,-0.127133
-0.330601,-0.297838,-0.074174
-0.325460,-0.305128,-0.079414
-0.335844,-0.302080,-0.105044
-0.330521,-0.304924,-0.093661
-0.319478,-0.309951,-0.088674
-0.333558,-0.304147,-0.122707
-0.327655,-0.308755,-0.113397
-0.333832,-0.300049,-0.140090
-0.321911,-0.309025,-0.132800
-0.321076,-0.311554,-0.122678
-0.330953,-0.296586,-0.155574
-0.332032,-0.285871,-0.176080
-0.321908,-0.293353,-0.166616
-0.332036,-0.276623,-0.187587
-0.323268,-0.281762,-0.186540
-0.335086,-0.246340,-0.214363
-0.329641,-0.260410,-0.205127
-0.320304,-0.262859,-0.204653
-0.320245,-0.240165,-0.216922
-0.320015,-0.298409,-0.156372
-0.327975,-0.284708,-0.052358
-0.319787,-0.295217,-0.055684
-0.318036,-0.305880,-0.070208
-0.326824,-0.307945,-0.099886
-0.317755,-0.313147,-0.107169
-0.335704,-0.184035,-0.036026
-0.330483,-0.180333,-0.025684
-0.329826,-0.192646,-0.040691
-0.334956,-0.159184,-0.014600
-0.323049,-0.174487,-0.013367
-0.321988,-0.190583,-0.027298
-0.319083,-0.198553,-0.035083
-0.321314,-0.149714,0.007068
-0.331416,-0.149587,-0.004234
-0.324370,-0.162957,-0.005273
-0.327887,-0.123226,0.013597
-0.329312,-0.134937,0.007343
-0.321992,-0.111810,0.022487
